Industry,Business Name,Category,Address,Council Area,Suburb,Google Maps,Website,Email,Phone,Latitude,Longitude,Permanently Closed,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Assistive Hearing Loop,Family-Friendly,LGBTQ+ Friendly (Likely),Sensory Sensitivity (Loud),Sensory Sensitivity (Quiet),Wheelchair Accessible (Likely),Wheelchair Accessible Entrance,Wheelchair Accessible Parking Lot,Wheelchair Accessible Restroom,Wheelchair Accessible Seating,Reviews Count,Total Score
Shopping,Petstock Hoppers Crossing,Pet store,"431 Old Geelong Rd, Hoppers Crossing VIC 3029, Australia",Wyndham,Hoppers Crossing,https://www.google.com/maps/search/?api=1&query=Petstock%20Hoppers%20Crossing&query_place_id=ChIJW-w8UfuI1moRIIrrJiKkel8,https://www.petstock.com.au/store/petstock-hoppers-crossing-3034?utm_term=plcid_2742953469081805341,,+61 3 9369 9955,-37.8685137,144.7305521,False,8 AM to 6:30 PM,8 AM to 6:30 PM,8 AM to 6:30 PM,8 AM to 6:30 PM,8 AM to 6:30 PM,8:30 AM to 5:30 PM,9 AM to 5:30 PM,,,,,,True,True,True,,,1002.0,4.4
Food & drink,Brandon Hotel,Pub,"237 Station St, Carlton North VIC 3054, Australia",Yarra,Carlton North,https://www.google.com/maps/search/?api=1&query=Brandon%20Hotel&query_place_id=ChIJh4ISrSVD1moREEo3LzmWUdY,http://www.brandonhotel.com.au/,,+61 3 9347 2382,-37.7913346,144.9748253,False,3 to 11 PM,3 to 11 PM,3 to 11 PM,3 to 11 PM,12 to 11 PM,12 to 11 PM,12 to 11 PM,,,,,,True,True,True,True,,381.0,4.3
Services,Drummond Street Services,Mental health service,"100 Drummond St, Carlton VIC 3053, Australia",Melbourne,Carlton,https://www.google.com/maps/search/?api=1&query=Drummond%20Street%20Services&query_place_id=ChIJ10srFdFC1moRjAwGaAOnsOU,http://www.ds.org.au/,,+61 3 9663 6733,-37.8043894,144.9681606,False,9 AM to 5 PM,9 AM to 7 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,Closed,Closed,,,True,,,True,True,True,True,True,12.0,4.5
Food & drink,Mint Food Group,Caterer,"39-41 Rupert St, Collingwood VIC 3066, Australia",Yarra,Collingwood,https://www.google.com/maps/search/?api=1&query=Mint%20Food%20Group&query_place_id=ChIJQUGOckJD1moRaouj30ugVj8,https://www.mintfoodgroup.com.au/,,+61 3 9416 4866,-37.8078077,144.9886729,False,,,,,,,,,,,,,,,,,,2.0,5.0
Other,Hadi Hospitality,,"Unit 9/11 Friars Rd, Moorabbin VIC 3189, Australia",Kingston,Moorabbin,https://www.google.com/maps/search/?api=1&query=Hadi%20Hospitality&query_place_id=ChIJGz1mIw9s1moR9ZBoQ-aDfrA,https://hadihospitality.com.au/contact/,,+61 425 833 264,-37.9452675,145.0625325,False,,,,,,,,,,,,,,,,,,,
Food & drink,🍕 Panza Piena | Italian Pizza & Pasta Catering Melbourne 🚚,Caterer,,Melbourne,,https://www.google.com/maps/search/?api=1&query=%F0%9F%8D%95%20Panza%20Piena%20%7C%20Italian%20Pizza%20%26%20Pasta%20Catering%20Melbourne%20%F0%9F%9A%9A&query_place_id=ChIJfSUnZp5f1moRq7Pe1c0ahgQ,https://www.panzapiena.com/?utm_source=GBP&utm_medium=organic,,+61 405 306 099,-37.8291732,144.9106121,False,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,8 AM to 5 PM,,,,,,,,,,,39.0,5.0
Entertainment & recreation,The Pearl Events Venue,Event venue,"Unit 2/53 Gateway Blvd, Epping VIC 3076, Australia",Whittlesea,Epping,https://www.google.com/maps/search/?api=1&query=The%20Pearl%20Events%20Venue&query_place_id=ChIJ3ayrGGNP1moR3o_-IvP_bBA,https://thepearleventsvenue.com.au/,,+61 466 222 267,-37.6437657,144.9984857,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,,,,,,True,True,True,,,24.0,4.9
Health & wellness,Beau's Ranch,Massage therapist,,Kingston,,https://www.google.com/maps/search/?api=1&query=Beau's%20Ranch&query_place_id=ChIJC-1QW-FuamcRadHJAdfpdAE,https://www.beausbodyworks.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=325350868180931564,,+61 467 827 555,-37.9579086,145.0531353,False,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,10 AM to 9 PM,,,True,,,,,,,,6.0,4.7
Food & drink,McDonald's Eastlink Northbound,Fast food restaurant,"1500 Eastlink Northbound, Scoresby VIC 3179, Australia",Knox,Scoresby,https://www.google.com/maps/search/?api=1&query=McDonald's%20Eastlink%20Northbound&query_place_id=ChIJ26DbDQ4-1moRrRYBycYVQ1A,https://mcdonalds.com.au/?utm_medium=local&utm_source=google%20my%20business&utm_campaign=local%20search&utm_content=qld&utm_term=mcdonalds%20Scoresby,,+61 3 9753 2057,-37.9123543,145.2134654,False,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,,,True,True,True,True,True,2884.0,3.5
Services,HCF,Health insurance agency,"The Glen Shopping Centre, Ground level/235 Springvale Rd, Glen Waverley VIC 3150, Australia",Monash,Glen Waverley,https://www.google.com/maps/search/?api=1&query=HCF&query_place_id=ChIJIeiCUWhq1moR5rVuQCX6LZo,https://www.hcf.com.au/,,+61 3 9600 6330,-37.8756813,145.1650389,False,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,9 AM to 5 PM,10 AM to 2 PM,Closed,,,,,,True,True,True,,,46.0,4.4
